District ID,DistrictName,School Year,Number of Students Tested,Personal/Social Skills (%) Level 1,Personal/Social Skills (%) Level 2,Personal/Social Skills (%) Level 3
,Andover School District,2013-2014,,25.0,50.0,25.0
,Ansonia School District,2013-2014,,13.5,39.2,47.4
,Ashford School District,2013-2014,,8.3,44.4,47.2
,Avon School District,2013-2014,,4.6,21.4,74.0
,Barkhamsted School District,2013-2014,,11.1,30.6,58.3
,Berlin School District,2013-2014,,11.2,52.9,35.9
,Bethany School District,2013-2014,,22.0,42.4,35.6
,Bethel School District,2013-2014,,5.6,32.5,61.9
,Bloomfield School District,2013-2014,,20.4,44.1,35.5
,Bolton School District,2013-2014,,8.5,29.8,61.7
,Bozrah School District,2013-2014,,16.0,60.0,24.0
,Branford School District,2013-2014,,10.8,49.3,39.9
,Bridgeport School District,2013-2014,,17.2,43.6,39.2
,Bristol School District,2013-2014,,16.4,39.9,43.7
,Brookfield School District,2013-2014,,12.5,41.5,46.0
,Brooklyn School District,2013-2014,,25.9,30.9,43.2
,Canaan School District,2013-2014,,14.3,57.1,28.6
,Canterbury School District,2013-2014,,14.0,20.9,65.1
,Canton School District,2013-2014,,8.9,23.2,67.9
,Chaplin School District,2013-2014,,25.9,18.5,55.6
,Cheshire School District,2013-2014,,2.1,10.6,87.2
,Chester School District,2013-2014,,9.4,43.8,46.9
,Clinton School District,2013-2014,,6.9,42.3,50.8
,Colchester School District,2013-2014,,5.3,42.9,51.8
,Colebrook School District,2013-2014,,6.3,75.0,18.8
,Columbia School District,2013-2014,,19.0,57.1,23.8
,Cornwall School District,2013-2014,,16.7,25.0,58.3
,Coventry School District,2013-2014,,9.7,49.2,41.1
,Cromwell School District,2013-2014,,6.7,50.3,43.0
,Danbury School District,2013-2014,,18.6,48.6,32.8
,Darien School District,2013-2014,,6.3,15.3,78.3
,Deep River School District,2013-2014,,13.0,60.9,26.1
,Derby School District,2013-2014,,30.3,28.4,41.3
,Eastford School District,2013-2014,,16.7,50.0,33.3
,East Granby School District,2013-2014,,3.4,27.6,69.0
,East Haddam School District,2013-2014,,7.8,50.6,41.6
,East Hampton School District,2013-2014,,3.9,49.0,47.1
,East Hartford School District,2013-2014,,17.4,46.9,35.7
,East Haven School District,2013-2014,,22.2,40.4,37.3
,East Lyme School District,2013-2014,,14.0,58.9,27.1
,Easton School District,2013-2014,,4.7,60.0,35.3
,East Windsor School District,2013-2014,,12.6,64.1,23.3
,Ellington School District,2013-2014,,3.9,21.0,75.1
,Enfield School District,2013-2014,,10.1,45.9,44.0
,Essex School District,2013-2014,,14.6,58.3,27.1
,Fairfield School District,2013-2014,,9.3,39.3,51.4
,Farmington School District,2013-2014,,8.6,30.2,61.2
,Franklin School District,2013-2014,,45.0,15.0,40.0
,Glastonbury School District,2013-2014,,11.8,27.5,60.8
,Granby School District,2013-2014,,2.7,5.4,92.0
,Greenwich School District,2013-2014,,7.0,33.4,59.6
,Griswold School District,2013-2014,,12.5,54.2,33.3
,Groton School District,2013-2014,,22.1,50.7,27.2
,Guilford School District,2013-2014,,8.1,20.2,71.7
,Hamden School District,2013-2014,,34.3,45.9,19.8
,Hampton School District,2013-2014,,5.3,47.4,47.4
,Hartford School District,2013-2014,,26.1,45.6,28.4
,Hartland School District,2013-2014,,0.0,6.3,93.8
,Hebron School District,2013-2014,,4.4,28.9,66.7
,Kent School District,2013-2014,,12.0,24.0,64.0
,Killingly School District,2013-2014,,19.2,52.3,28.5
,Ledyard School District,2013-2014,,20.0,41.7,38.3
,Lisbon School District,2013-2014,,6.3,28.1,65.6
,Litchfield School District,2013-2014,,39.3,44.6,16.1
,Madison School District,2013-2014,,2.7,50.0,47.3
,Manchester School District,2013-2014,,30.0,47.6,22.4
,Mansfield School District,2013-2014,,19.9,48.5,31.6
,Marlborough School District,2013-2014,,1.9,32.1,66.0
,Meriden School District,2013-2014,,20.9,36.6,42.6
,Middletown School District,2013-2014,,48.4,37.1,14.6
,Milford School District,2013-2014,,6.0,25.8,68.2
,Monroe School District,2013-2014,,7.3,46.1,46.6
,Montville School District,2013-2014,,2.4,35.9,61.8
,Naugatuck School District,2013-2014,,22.9,50.2,26.9
,New Britain School District,2013-2014,,19.7,42.6,37.7
,New Canaan School District,2013-2014,,9.3,41.0,49.7
,New Fairfield School District,2013-2014,,9.5,68.2,22.3
,New Hartford School District,2013-2014,,1.4,84.5,14.1
,New Haven School District,2013-2014,,24.9,47.3,27.8
,Newington School District,2013-2014,,17.6,50.7,31.7
,New London School District,2013-2014,,12.2,53.2,34.7
,New Milford School District,2013-2014,,12.7,43.1,44.1
,Newtown School District,2013-2014,,6.7,34.1,59.2
,Norfolk School District,2013-2014,,31.3,12.5,56.3
,North Branford School District,2013-2014,,15.7,20.4,63.9
,North Canaan School District,2013-2014,,10.9,49.1,40.0
,North Haven School District,2013-2014,,7.5,38.5,54.0
,North Stonington School District,2013-2014,,3.1,18.8,78.1
,Norwalk School District,2013-2014,,19.8,46.0,34.3
,Norwich School District,2013-2014,,26.5,40.4,33.2
,Old Saybrook School District,2013-2014,,2.4,24.1,73.5
,Orange School District,2013-2014,,13.9,49.0,37.2
,Oxford School District,2013-2014,,4.4,13.3,82.2
,Plainfield School District,2013-2014,,25.8,55.1,19.1
,Plainville School District,2013-2014,,15.8,44.7,39.5
,Plymouth School District,2013-2014,,12.2,43.3,44.4
,Pomfret School District,2013-2014,,27.6,31.0,41.4
,Portland School District,2013-2014,,16.0,55.7,28.3
,Preston School District,2013-2014,,14.0,58.0,28.0
,Putnam School District,2013-2014,,4.5,25.8,69.7
,Ridgefield School District,2013-2014,,5.8,32.3,61.9
,Rocky Hill School District,2013-2014,,4.3,27.4,68.3
,Salem School District,2013-2014,,9.3,46.5,44.2
,Salisbury School District,2013-2014,,3.4,37.9,58.6
,Scotland School District,2013-2014,,40.0,30.0,30.0
,Seymour School District,2013-2014,,11.8,45.0,43.2
,Sharon School District,2013-2014,,33.3,12.5,54.2
,Shelton School District,2013-2014,,10.9,57.9,31.3
,Sherman School District,2013-2014,,0.0,16.7,83.3
,Simsbury School District,2013-2014,,4.9,31.3,63.8
,Somers School District,2013-2014,,16.5,49.5,34.1
,Southington School District,2013-2014,,15.4,45.7,38.9
,South Windsor School District,2013-2014,,3.5,18.4,78.1
,Sprague School District,2013-2014,,21.4,35.7,42.9
,Stafford School District,2013-2014,,13.5,57.7,28.8
,Stamford School District,2013-2014,,18.4,45.6,36.0
,Sterling School District,2013-2014,,42.6,44.7,12.8
,Stonington School District,2013-2014,,7.6,37.3,55.1
,Stratford School District,2013-2014,,12.1,32.0,55.9
,Suffield School District,2013-2014,,4.2,51.3,44.5
,Thomaston School District,2013-2014,,3.2,22.2,74.6
,Thompson School District,2013-2014,,13.8,40.0,46.3
,Tolland School District,2013-2014,,8.2,61.0,30.8
,Torrington School District,2013-2014,,21.2,37.3,41.5
,Trumbull School District,2013-2014,,22.9,50.5,26.6
,Vernon School District,2013-2014,,15.2,30.8,54.0
,Voluntown School District,2013-2014,,0.0,18.5,81.5
,Wallingford School District,2013-2014,,11.6,43.5,44.9
,Waterbury School District,2013-2014,,20.8,47.5,31.6
,Waterford School District,2013-2014,,10.8,40.0,49.2
,Watertown School District,2013-2014,,17.7,50.2,32.1
,Westbrook School District,2013-2014,,11.6,39.5,48.8
,West Hartford School District,2013-2014,,12.5,49.4,38.1
,West Haven School District,2013-2014,,27.0,48.5,24.5
,Weston School District,2013-2014,,3.4,26.7,69.8
,Westport School District,2013-2014,,9.9,50.4,39.7
,Wethersfield School District,2013-2014,,12.5,42.2,45.3
,Willington School District,2013-2014,,11.5,63.5,25.0
,Wilton School District,2013-2014,,3.7,20.1,76.2
,Windham School District,2013-2014,,20.1,50.6,29.3
,Windsor School District,2013-2014,,15.0,49.1,36.0
,Windsor Locks School District,2013-2014,,8.3,51.5,40.2
,Wolcott School District,2013-2014,,6.0,30.5,63.6
,Woodstock School District,2013-2014,,9.7,31.9,58.3
,Regional School District 06,2013-2014,,13.7,27.5,58.8
,Regional School District 10,2013-2014,,2.5,16.0,81.5
,Regional School District 12,2013-2014,,11.1,19.4,69.4
,Regional School District 13,2013-2014,,5.7,42.3,52.0
,Regional School District 15,2013-2014,,5.4,31.1,63.5
,Regional School District 16,2013-2014,,11.2,51.8,37.1
,Regional School District 17,2013-2014,,3.2,24.6,72.2
,Regional School District 18,2013-2014,,6.2,29.6,64.2
,Capitol Region Education Council,2013-2014,,14.5,37.8,47.7
,Cooperative Educational Services,2013-2014,,1.9,30.2,67.9
,Learn,2013-2014,,4.4,40.5,55.1
,Jumoke Academy District,2013-2014,,4.4,35.6,60.0
,Integrated Day Charter School District,2013-2014,,9.1,27.3,63.6
,Side By Side Charter School District,2013-2014,,18.2,54.5,27.3
,Amistad Academy District,2013-2014,,5.4,25.0,69.6
,Bridgeport Achievement First District,2013-2014,,56.2,43.8,0.0
,Achievement First Hartford Academy Inc. District,2013-2014,,11.2,73.0,15.7
,Elm City College Preparatory School District,2013-2014,,21.0,56.5,22.6
