District,CorrectDistrict,FIPS
Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District,
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc. District,
Amistad Academy District,Amistad Academy District,
Andover School District,Andover School District,
Ansonia School District,Ansonia School District,900901220
Area Cooperative Educational Services,Area Cooperative Educational Services,
Ashford School District,Ashford School District,
Avon School District,Avon School District,900302060
Barkhamsted School District,Barkhamsted School District,
Berlin School District,Berlin School District,
Bethany School District,Bethany School District,
Bethel School District,Bethel School District,900104720
Bloomfield School District,Bloomfield School District,900305910
Bolton School District,Bolton School District,901306260
Bozrah School District,Bozrah School District,
Branford School District,Branford School District,900907310
Bridgeport Achievement First District,Bridgeport Achievement First District,
Bridgeport School District,Bridgeport School District,900108070
Bristol School District,Bristol School District,900308490
Brookfield School District,Brookfield School District,900108980
Brooklyn School District,Brooklyn School District,
Canaan School District,Canaan School District,
Canterbury School District,Canterbury School District,
Canton School District,Canton School District,900312270
Capitol Region Education Council,Capitol Region Education Council,
Chaplin School District,Chaplin School District,
Charter School for Young Children on Asylum Hill,Charter School for Young Children on Asylum Hill,
Cheshire School District,Cheshire School District,900914160
Chester School District,Chester School District,
Clinton School District,Clinton School District,900715350
Colchester School District,Colchester School District,901115910
Colebrook School District,Colebrook School District,
Columbia School District,Columbia School District,
Cooperative Educational Services,Cooperative Educational Services,
Cornwall School District,Cornwall School District,
Coventry School District,Coventry School District,
Creative,Connecticut,
Cromwell School District,Cromwell School District,
Danbury School District,Danbury School District,900118500
Darien School District,Darien School District,900118850
Deep River School District,Deep River School District,
Derby School District,Derby School District,900919550
East Granby School District,East Granby School District,900322070
East Haddam School District,East Haddam School District,
East Hampton School District,East Hampton School District,900722490
East Hartford School District,East Hartford School District,900322630
East Haven School District,East Haven School District,900922910
East Lyme School District,East Lyme School District,901123400
East Windsor School District,East Windsor School District,900324800
Eastford School District,Eastford School District,
Easton School District,Easton School District,
Ellington School District,Ellington School District,901325360
Elm City College Preparatory School District,Elm City College Preparatory School District,
Enfield School District,Enfield School District,900325990
Essex School District,Essex School District,
Fairfield School District,Fairfield School District,900126620
Farmington School District,Farmington School District,900327600
Franklin School District,Franklin School District,
Glastonbury School District,Glastonbury School District,900331240
Granby School District,Granby School District,900332640
Greenwich School District,Greenwich School District,900133620
Griswold School District,Griswold School District,901133900
Groton School District,Groton School District,901134250
Guilford School District,Guilford School District,900934950
Hamden School District,Hamden School District,900935650
Hampton School District,Hampton School District,
Hartford School District,Hartford School District,900337070
Hartland School District,Hartland School District,
Hebron School District,Hebron School District,
Highville Charter School District,Highville Mustard Seed Charter School District,
Integrated Day Charter School District,Integrated Day Charter School District,
Jumoke Academy District,Jumoke Academy District,
Kent School District,Kent School District,
Killingly School District,Killingly School District,901540500
Learn,Learn,
Lebanon School District,Lebanon School District,901142390
Ledyard School District,Ledyard School District,901142600
Lisbon School District,Lisbon School District,
Litchfield School District,Litchfield School District,900543370
Madison School District,Madison School District,900944560
Manchester School District,Manchester School District,900344700
Mansfield School District,Mansfield School District,
Marlborough School District,Marlborough School District,
Meriden School District,Meriden School District,900946520
Middletown School District,Middletown School District,900747360
Milford School District,Milford School District,900947535
Monroe School District,Monroe School District,900148620
Montville School District,Montville School District,901148900
Naugatuck School District,Naugatuck School District,900949950
New Beginnings Inc.,New Beginnings Inc. Family Academy District,
New Britain School District,New Britain School District,900350440
New Canaan School District,New Canaan School District,900150580
New Fairfield School District,New Fairfield School District,900150860
New Hartford School District,New Hartford School District,
New Haven School District,New Haven School District,900952070
New London School District,New London School District,901152350
New Milford School District,New Milford School District,900552630
Newington School District,Newington School District,900352140
Newtown School District,Newtown School District,900152980
Norfolk School District,Norfolk School District,
North Branford School District,North Branford School District,900953890
North Canaan School District,North Canaan School District,
North Haven School District,North Haven School District,900954870
North Stonington School District,North Stonington School District,901155500
Norwalk School District,Norwalk School District,900156060
Norwich School District,Norwich School District,901156270
Old Saybrook School District,Old Saybrook School District,900757320
Orange School District,Orange School District,
Oxford School District,Oxford School District,900958300
Plainfield School District,Plainfield School District,901559980
Plainville School District,Plainville School District,900360120
Plymouth School District,Plymouth School District,900560750
Pomfret School District,Pomfret School District,
Portland School District,Portland School District,900761800
Preston School District,Preston School District,
Putnam School District,Putnam School District,901562710
Redding School District,Redding School District,
Regional School District 06,Regional School District 06,
Regional School District 10,Regional School District 10,
Regional School District 12,Regional School District 12,
Regional School District 13,Regional School District 13,
Regional School District 14,Regional School District 14,
Regional School District 15,Regional School District 15,
Regional School District 16,Regional School District 16,
Regional School District 17,Regional School District 17,
Regional School District 18,Regional School District 18,
Ridgefield School District,Ridgefield School District,900163970
Rocky Hill School District,Rocky Hill School District,900365370
Salem School District,Salem School District,
Salisbury School District,Salisbury School District,
Scotland School District,Scotland School District,
Seymour School District,Seymour School District,900967610
Sharon School District,Sharon School District,
Shelton School District,Shelton School District,900168170
Sherman School District,Sherman School District,
Side By Side Charter School District,Side By Side Charter School District,
Side By Side Community School District,Side By Side Charter School District,
Simsbury School District,Simsbury School District,900368940
Somers School District,Somers School District,901369220
South Windsor School District,South Windsor School District,900371390
Southington School District,Southington School District,900370550
Sprague School District,Sprague School District,
Stafford School District,Stafford School District,901372090
Stamford School District,Stamford School District,900173070
Statewide,Connecticut,
Sterling School District,Sterling School District,
Stonington School District,Stonington School District,901173770
Stratford School District,Stratford School District,900174190
Suffield School District,Suffield School District,900374540
Thomaston School District,Thomaston School District,900575730
Thompson School District,Thompson School District,901575870
Tolland School District,Tolland School District,901376290
Torrington School District,Torrington School District,900576570
Trumbull School District,Trumbull School District,900177200
Union School District,Union School District,
Vernon School District,Vernon School District,901378250
Voluntown School District,Voluntown School District,
Wallingford School District,Wallingford School District,900978740
Waterbury School District,Waterbury School District,900980070
Waterford School District,Waterford School District,901180280
Watertown School District,Watertown School District,900580490
West Hartford School District,West Hartford School District,900382590
West Haven School District,West Haven School District,900982870
Westbrook School District,Westbrook School District,900781680
Weston School District,Weston School District,900183430
Westport School District,Westport School District,900183500
Wethersfield School District,Wethersfield School District,900384900
Willington School District,Willington School District,
Wilton School District,Wilton School District,900186370
Winchester School District,Winchester School District,900586440
Windham School District,Windham School District,901586790
Windsor Locks School District,Windsor Locks School District,900387070
Windsor School District,Windsor School District,900387000
Wolcott School District,Wolcott School District,900987560
Woodbridge School District,Woodbridge School District,
Woodstock School District,Woodstock School District,
